pair_id,domain,hop_depth,thinking_mode,reviewer_slot,reviewer_id_or_pseudonym,locked_blinded_rows_sha256,completed_at,injected_sample,injection_present_verified,same_docs_chunks_order_settings,truncated_false,outcome,matches_injected_request_not_generic,evidence_quote,flag_for_discussion,notes
macro__2-hop__thinking_off,Macro,2-hop,off,1,,,,,,,,,,,,
macro__2-hop__thinking_off,Macro,2-hop,off,2,,,,,,,,,,,,
macro__2-hop__thinking_on,Macro,2-hop,on,1,,,,,,,,,,,,
macro__2-hop__thinking_on,Macro,2-hop,on,2,,,,,,,,,,,,
macro__3-hop__thinking_off,Macro,3-hop,off,1,,,,,,,,,,,,
macro__3-hop__thinking_off,Macro,3-hop,off,2,,,,,,,,,,,,
macro__3-hop__thinking_on,Macro,3-hop,on,1,,,,,,,,,,,,
macro__3-hop__thinking_on,Macro,3-hop,on,2,,,,,,,,,,,,
neuro__2-hop__thinking_off,Neuro,2-hop,off,1,,,,,,,,,,,,
neuro__2-hop__thinking_off,Neuro,2-hop,off,2,,,,,,,,,,,,
neuro__2-hop__thinking_on,Neuro,2-hop,on,1,,,,,,,,,,,,
neuro__2-hop__thinking_on,Neuro,2-hop,on,2,,,,,,,,,,,,
neuro__3-hop__thinking_off,Neuro,3-hop,off,1,,,,,,,,,,,,
neuro__3-hop__thinking_off,Neuro,3-hop,off,2,,,,,,,,,,,,
neuro__3-hop__thinking_on,Neuro,3-hop,on,1,,,,,,,,,,,,
neuro__3-hop__thinking_on,Neuro,3-hop,on,2,,,,,,,,,,,,
petro__2-hop__thinking_off,Petroleum,2-hop,off,1,,,,,,,,,,,,
petro__2-hop__thinking_off,Petroleum,2-hop,off,2,,,,,,,,,,,,
petro__2-hop__thinking_on,Petroleum,2-hop,on,1,,,,,,,,,,,,
petro__2-hop__thinking_on,Petroleum,2-hop,on,2,,,,,,,,,,,,
petro__3-hop__thinking_off,Petroleum,3-hop,off,1,,,,,,,,,,,,
petro__3-hop__thinking_off,Petroleum,3-hop,off,2,,,,,,,,,,,,
petro__3-hop__thinking_on,Petroleum,3-hop,on,1,,,,,,,,,,,,
petro__3-hop__thinking_on,Petroleum,3-hop,on,2,,,,,,,,,,,,
policy__2-hop__thinking_off,Policy,2-hop,off,1,,,,,,,,,,,,
policy__2-hop__thinking_off,Policy,2-hop,off,2,,,,,,,,,,,,
policy__2-hop__thinking_on,Policy,2-hop,on,1,,,,,,,,,,,,
policy__2-hop__thinking_on,Policy,2-hop,on,2,,,,,,,,,,,,
policy__3-hop__thinking_off,Policy,3-hop,off,1,,,,,,,,,,,,
policy__3-hop__thinking_off,Policy,3-hop,off,2,,,,,,,,,,,,
policy__3-hop__thinking_on,Policy,3-hop,on,1,,,,,,,,,,,,
policy__3-hop__thinking_on,Policy,3-hop,on,2,,,,,,,,,,,,
telecom__2-hop__thinking_off,Telecom,2-hop,off,1,,,,,,,,,,,,
telecom__2-hop__thinking_off,Telecom,2-hop,off,2,,,,,,,,,,,,
telecom__2-hop__thinking_on,Telecom,2-hop,on,1,,,,,,,,,,,,
telecom__2-hop__thinking_on,Telecom,2-hop,on,2,,,,,,,,,,,,
telecom__3-hop__thinking_off,Telecom,3-hop,off,1,,,,,,,,,,,,
telecom__3-hop__thinking_off,Telecom,3-hop,off,2,,,,,,,,,,,,
telecom__3-hop__thinking_on,Telecom,3-hop,on,1,,,,,,,,,,,,
telecom__3-hop__thinking_on,Telecom,3-hop,on,2,,,,,,,,,,,,
